,Brent_prices,ACWI_indexes,Dow_Jones_indexes,DXY_indexes,FTSE_100_indexes,MOEX_indexes,RTS_indexes,SPX_indexes,USD_RUB_rates
Brent_prices,1.0,-0.05546262228736068,-0.12735896932062324,0.230281788285081,-0.04507260754037539,0.16174207380626995,0.20070108205188059,-0.08762193055380527,0.250794153332884
ACWI_indexes,-0.05546262228736068,1.0,0.9402065452789177,0.3432116674121134,0.9593930156398415,0.16609639123005351,0.4755711373972795,0.9617326101474006,0.6709872244444385
Dow_Jones_indexes,-0.12735896932062324,0.9402065452789177,1.0,0.5523476566584055,0.9265097564275218,0.4146696006244796,0.6665568391682408,0.9933646026090482,0.7697573331631485
DXY_indexes,0.230281788285081,0.3432116674121134,0.5523476566584055,1.0,0.44295854456636174,0.6253869495941922,0.7025003853627261,0.5185448646435635,0.6638375167243089
FTSE_100_indexes,-0.04507260754037539,0.9593930156398415,0.9265097564275218,0.44295854456636174,1.0,0.16792760994041384,0.4446699231926099,0.9284350166209232,0.6140852197119162
MOEX_indexes,0.16174207380626995,0.16609639123005351,0.4146696006244796,0.6253869495941922,0.16792760994041384,1.0,0.9034930462879794,0.37778631315377914,0.6456661025305661
RTS_indexes,0.20070108205188059,0.4755711373972795,0.6665568391682408,0.7025003853627261,0.4446699231926099,0.9034930462879794,1.0,0.657396357378227,0.9083119908899776
SPX_indexes,-0.08762193055380527,0.9617326101474006,0.9933646026090482,0.5185448646435635,0.9284350166209232,0.37778631315377914,0.657396357378227,1.0,0.791519139239485
USD_RUB_rates,0.250794153332884,0.6709872244444385,0.7697573331631485,0.6638375167243089,0.6140852197119162,0.6456661025305661,0.9083119908899776,0.791519139239485,1.0
